Func.;Sexo;Idade;Escola;Estado civil;peso;altura;Núm. Filhos;Mora Sozinho;Salário;Toler.;Exerc.;Gosta;Satisfaçăo G;Satisfaçăo S ;Satisfaçăo A;TV;OpTV;Feliz;Nota Feliz
1;1;24;1;0;74,5;1,84;1;0;1574,59;2;1;0;2;3;4;2,1;0;3;8
2;1;26;1;0;75,3;1,71;1;0;1354,15;2;1;0;2;2;4;3,1;2;1;10
3;0;24;1;0;71,1;1,79;1;0;1262,17;2;1;0;4;3;4;4,7;0;3;10
4;1;15;1;0;79,6;1,9;0;1;1388,85;2;1;0;4;2;3;3,9;1;4;9
5;0;26;1;0;77,3;1,79;0;0;1220,36;2;1;1;2;1;2;1,5;2;2;9
6;0;34;3;0;70,8;1,83;0;0;1675,91;2;0;0;3;1;3;2,4;1;2;9
7;1;28;2;1;76,7;1,79;0;1;1035,26;2;0;0;2;1;4;2,4;0;3;8
8;1;28;3;0;63;1,9;2;0;1571,47;2;1;0;3;2;3;2,8;2;2;9
9;1;30;2;0;72,5;1,81;0;0;1443,98;1;1;0;4;1;3;3,4;1;3;9
10;1;24;0;0;72;1,8;0;0;1636,41;2;1;0;3;1;4;3,5;1;3;8
11;1;19;2;0;77,8;1,67;1;0;1627,89;2;1;0;4;3;4;1,9;0;2;10
12;1;27;2;0;67,6;1,76;0;1;1404,06;2;1;0;4;2;4;3,8;0;4;9
13;1;22;2;1;75,9;1,81;1;1;1330,84;1;1;0;4;0;4;4,1;3;2;9
14;1;25;0;1;70;1,83;0;0;1520,45;2;1;0;2;3;4;4,5;1;2;8
15;0;25;1;0;75;1,68;1;0;1859,41;1;1;0;3;0;3;3,6;0;2;9
16;1;29;1;0;76,5;1,68;0;0;1459,67;2;1;1;3;2;4;3,3;0;3;10
17;1;34;2;0;81,5;1,89;1;1;1444,23;2;1;0;3;3;4;2,5;1;4;10
18;1;29;3;0;75,8;1,8;0;0;1461,41;2;1;0;4;3;3;3,4;0;3;9
19;0;21;2;0;71,2;1,82;0;0;1255,94;2;1;0;4;1;4;4,5;1;0;10
20;0;25;1;0;71,5;1,77;0;1;1411,59;2;1;0;4;1;4;2,3;0;1;8
21;0;29;3;0;83,5;1,61;0;0;1449,21;2;1;1;4;4;2;3,5;1;3;8
22;1;32;0;1;78,2;1,87;1;0;1676,05;2;1;1;4;3;2;2,2;2;3;9
23;0;31;3;0;76,1;1,8;0;1;1349,86;2;1;0;3;1;4;3,5;2;3;10
24;0;27;2;0;76;1,89;0;1;1603,06;2;0;0;4;1;4;3,1;2;3;10
25;1;15;3;2;72,1;1,69;1;0;1626,69;2;1;1;3;3;4;3,2;1;3;8
